,author,content,probs
12,gared,See where they went.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
13,royce,What is it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
14,gared,It's …,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
15,jon snow,Go on. Father's watching.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
16,jon snow,And your mother.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
17,septa mordane,"Fine work, as always. Well done.","[[0.01204535 0.01408992 0.01313305 0.0357355  0.01995695 0.00514871
  0.8998905 ]]"
18,sansa stark,Thank you.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
19,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,"[[0.28101543 0.29359195 0.12486623 0.04727727 0.23322971 0.01859933
  0.00142012]]"
20,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.","[[0.15188076 0.17395432 0.16200474 0.1953443  0.28480214 0.03000738
  0.00200639]]"
21,jon snow,"Don't think too much, Bran.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
22,robb stark,Relax your bow arm.,"[[0.03031323 0.03376323 0.02060367 0.03023258 0.0340863  0.00616628
  0.8448347 ]]"
23,jonrobb,"Quick, Bran, faster!","[[0.00401798 0.00486363 0.00570579 0.02045308 0.00819795 0.00231603
  0.9544456 ]]"
24,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"[[8.7902743e-05 1.2881951e-04 6.8849570e-04 1.5519539e-02 6.8484229e-04
  5.3085701e-04 9.8235959e-01]]"
25,eddard stark,Get the lads to saddle their horses.,"[[0.28991506 0.29598653 0.1195663  0.05035799 0.2184588  0.0231948
  0.0025205 ]]"
26,catelyn stark,Do you have to?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
27,eddard stark,"He swore an oath, Cat.","[[0.02376537 0.02687031 0.01865212 0.03337526 0.03014894 0.00613846
  0.86104953]]"
28,cassel,"The law is law, my lady.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
29,eddard stark,"Tell Bran he's coming, too.","[[0.03043047 0.03388802 0.0206529  0.03024386 0.03417603 0.0061764
  0.8444323 ]]"
30,catelyn stark,Ned. Ten is too young to see such things.,"[[0.02496249 0.02970784 0.04027313 0.19651459 0.05713677 0.02500079
  0.62640446]]"
31,eddard stark,He won't be a boy forever. And winter is coming.,"[[0.05666181 0.0674234  0.1103161  0.5206819  0.16144003 0.06577881
  0.01769795]]"
32,robb stark,"Lad, go run back and get the rest.","[[0.00235047 0.00290634 0.00403333 0.01801129 0.00557994 0.00176003
  0.9653586 ]]"
33,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","[[3.5373337e-04 4.7390469e-04 1.2390263e-03 1.2177179e-02 1.4735315e-03
  7.0735067e-04 9.8357534e-01]]"
34,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","[[4.11876972e-04 5.95333346e-04 3.77219729e-03 1.23922184e-01
  3.71347601e-03 4.41090483e-03 8.63174021e-01]]"
35,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.","[[0.00257819 0.00318856 0.00450394 0.02076831 0.00621493 0.00202839
  0.9607177 ]]"
36,will,"Forgive me, lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
37,eddard stark,"In the name of Robert of the House Baratheon, first of his name …","[[3.9109004e-01 3.6434576e-01 1.4349058e-01 7.5556876e-05 1.0092390e-01
  7.4092786e-05 5.3472203e-08]]"
38,jon snow,Don't look away.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
39,eddard stark,King of the Andals and the First Men …,"[[0.14254914 0.15479772 0.13028193 0.26547578 0.20187028 0.07134268
  0.03368244]]"
40,jon snow,Father will know if you do.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
41,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.","[[0.12461485 0.14148854 0.14503253 0.29258364 0.22832818 0.05695755
  0.01099473]]"
42,jon snow,You did well.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
43,eddard stark,You understand why I did it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
44,bran stark,Jon said he was a deserter.,"[[0.05397683 0.05879159 0.03084607 0.03572959 0.05252561 0.00866761
  0.7594627 ]]"
45,eddard stark,But do you understand why I had to kill him?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
46,bran stark,Our way is the old way?,"[[0.0323229  0.0358983  0.02143629 0.03041641 0.03560599 0.00633686
  0.83798325]]"
47,eddard stark,The man who passes the sentence should swing the sword.,"[[0.09434076 0.10750904 0.12652539 0.3861987  0.18986914 0.07199075
  0.02356627]]"
48,bran stark,Is it true he saw the White Walkers?,"[[0.02144163 0.02424595 0.01660084 0.02902409 0.02687375 0.00529572
  0.876518  ]]"
49,eddard stark,The White Walkers have been gone for thousands of years.,"[[0.00486832 0.00586834 0.00676313 0.02393543 0.00976752 0.00278819
  0.9460091 ]]"
50,bran stark,So he was lying?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
51,eddard stark,A madman sees what he sees.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
52,jon snow,What is it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
53,theon greyjoy,Mountain lion?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
54,eddard stark,There are no mountain lions in these woods.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
55,theon greyjoy,It's a freak.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
56,eddard stark,It's a direwolf.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
57,eddard stark,Tough old beast.,"[[0.02006401 0.02275084 0.01592219 0.02872397 0.0256582  0.00513638
  0.8817443 ]]"
58,robb stark,There are no direwolves south of the Wall.,"[[0.08895679 0.09565624 0.04778152 0.05115918 0.08204628 0.01395663
  0.6204434 ]]"
59,jon snow,Now there are five.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
60,jon snow,You want to hold it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
61,bran stark,Where will they go? Their mother's dead.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
62,cassel,They don't belong down here.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
63,eddard stark,Better a quick death. They won't last without their mother.,"[[0.00314618 0.00428081 0.0219055  0.64111376 0.0232557  0.0334022
  0.27289578]]"
64,theon greyjoy,Right. Give it here.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
65,bran stark,NO!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
66,robb stark,Put away your blade.,"[[0.02424693 0.02727463 0.01793064 0.02952048 0.02926015 0.00559764
  0.8661696 ]]"
67,theon greyjoy,"I take orders from your father, not you.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
68,bran stark,"Please, father!","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
69,eddard stark,"I'm sorry, Bran.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
70,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"[[5.7995878e-04 8.1846479e-04 4.2206380e-03 1.0657731e-01 4.3390454e-03
  4.4042701e-03 8.7906033e-01]]"
71,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.","[[0.01814177 0.02065695 0.01494239 0.02826142 0.02391467 0.00490243
  0.8891804 ]]"
72,bran stark,What about you?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
73,jon snow,I'm not a Stark. Get on.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
74,robb stark,What is it?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
75,theon greyjoy,"The runt of the litter. That one's yours, Snow.","[[0.02110081 0.02387637 0.01643467 0.02895251 0.02657533 0.00525711
  0.8778032 ]]"
76,jaime lannister,"As your brother, I feel it's my duty to warn you","[[0.28499618 0.28470096 0.10011848 0.05892893 0.18145937 0.03011423
  0.05968195]]"
77,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","[[3.1147221e-01 3.2331231e-01 1.4141150e-01 1.7450107e-03 2.2170462e-01
  3.5397382e-04 3.5609759e-07]]"
78,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.","[[3.3810705e-01 3.3543590e-01 1.1370869e-01 7.2602304e-03 2.0259151e-01
  2.8632761e-03 3.3274642e-05]]"
79,cersei lannister,What if Jon Arryn told someone?,"[[0.0210665  0.02392443 0.01713655 0.03213232 0.02752693 0.00571345
  0.8724999 ]]"
80,jaime lannister,But who would he tell?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
81,cersei lannister,My husband.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
82,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.","[[4.7522615e-05 7.7027500e-05 1.1553565e-03 8.9194223e-02 8.9853408e-04
  1.5950648e-03 9.0703225e-01]]"
83,cersei lannister,You should be the Hand of the king.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
84,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.","[[2.8132042e-01 2.9506257e-01 1.2716429e-01 3.0327534e-02 2.5779685e-01
  8.1456453e-03 1.8270312e-04]]"
85,catelyn stark,All these years and I still feel like an outsider when I come here.,"[[0.2634137  0.27372506 0.12973659 0.07044331 0.23179503 0.02775143
  0.00313483]]"
86,eddard stark,You have five northern children. You're not an outsider.,"[[0.33299497 0.33056334 0.10286918 0.02393328 0.19493268 0.01368659
  0.00102   ]]"
87,catelyn stark,I wonder if the old gods agree.,"[[0.03203035 0.03558786 0.02131656 0.03039112 0.03538689 0.00631259
  0.83897465]]"
88,eddard stark,It's your gods with all the rules.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
89,catelyn stark,"I am so sorry, my love.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
90,eddard stark,Tell me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
91,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,"[[3.85789156e-01 3.62125307e-01 1.38693228e-01 1.59778851e-04
  1.13095276e-01 1.37103736e-04 1.61056107e-07]]"
92,eddard stark,Your sister. The boy …,"[[0.2803687  0.28596687 0.12115687 0.06281808 0.21554224 0.02923075
  0.0049165 ]]"
93,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,"[[0.07179903 0.08303326 0.11342393 0.46053824 0.16545911 0.07585749
  0.02988906]]"
94,eddard stark,"He's coming this far North, there's only one thing he's after.","[[0.257012   0.26535982 0.12777671 0.08524151 0.2214287  0.0358381
  0.00734302]]"
95,catelyn stark,"You can always say no, Ned.","[[0.00524199 0.00641194 0.00900074 0.04258835 0.01249222 0.0044846
  0.9197802 ]]"
96,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"[[3.6086106e-01 3.4985918e-01 1.0738266e-01 5.8587464e-03 1.7239156e-01
  3.5713236e-03 7.5436168e-05]]"
97,maester luwin,I'm told he drinks all night.,"[[0.09724077 0.10380412 0.04840188 0.04639181 0.08419154 0.01337056
  0.60659933]]"
98,catelyn stark,How much could he possibly drink? A man of his … stature.,"[[0.238413   0.24444006 0.12353057 0.11350345 0.20811205 0.0483046
  0.02369621]]"
99,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,"[[0.00126378 0.00179462 0.01506239 0.9014338  0.01564409 0.03100454
  0.03379671]]"
100,catelyn stark,"In any case, candles.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
101,jon snow,Why's your mother so dead-set on us getting pretty for the king?,"[[7.2799309e-04 9.5044868e-04 2.0773124e-03 1.6715141e-02 2.5863915e-03
  1.1404677e-03 9.7580224e-01]]"
102,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]","[[0.03753599 0.04377549 0.05014616 0.19399725 0.07379101 0.02868503
  0.57206917]]"
103,robb stark,I hear the prince is a right royal prick.,"[[0.00636753 0.00756709 0.00767494 0.02274148 0.0113947  0.00292557
  0.94132864]]"
104,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,"[[0.0306506  0.03427593 0.02192568 0.0345709  0.0359783  0.00689974
  0.83569884]]"
105,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.","[[0.02839398 0.03417434 0.06798263 0.6038194  0.09046144 0.07267677
  0.10249151]]"
106,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!","[[0.28496668 0.29270962 0.1221289  0.05206443 0.2228019  0.0229886
  0.00233989]]"
107,bran stark,I saw the king! He's got hundreds of people!,"[[0.0030909  0.00378067 0.004816   0.0192266  0.0067925  0.00202533
  0.9602681 ]]"
108,catelyn stark,How many times have I told you,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
109,bran stark,But he's coming right now! Down our road!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
110,catelyn stark,I want you to promise me,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
111,bran stark,I promise.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
112,catelyn stark,D'you know what?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
113,bran stark,What?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
114,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,"[[3.3358240e-01 3.3297291e-01 1.0740425e-01 1.4788745e-02 2.0430098e-01
  6.7434097e-03 2.0729516e-04]]"
115,catelyn stark,"Where's Arya? Sansa, where's your sister?","[[0.06213412 0.06733017 0.03422064 0.03771405 0.05863384 0.00953426
  0.730433  ]]"
116,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]","[[0.00609023 0.00763305 0.01468214 0.11047093 0.01918472 0.00978815
  0.8321508 ]]"
117,arya stark,Move!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
118,eddard stark,Your Grace.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
119,robert baratheon,You've got fat.,"[[0.21001038 0.21654473 0.08550919 0.0618977  0.1525573  0.02426235
  0.2492184 ]]"
120,robert baratheon,Cat!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
121,catelyn stark,Your Grace.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
122,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,"[[0.03337707 0.03701551 0.02186396 0.03050445 0.03638955 0.00642346
  0.834426  ]]"
123,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.","[[0.01626693 0.01860557 0.01394534 0.02775078 0.02215543 0.00465858
  0.8966174 ]]"
124,arya stark,Where's the Imp?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
125,sansa stark,Will you shut up?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
126,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?","[[0.00328756 0.00401137 0.00501204 0.01950972 0.0070998  0.00209034
  0.95898914]]"
127,arya stark,Arya.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
128,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,"[[0.3105206  0.308822   0.10870013 0.044535   0.19712584 0.0252683
  0.00502818]]"
129,arya stark,That's Jaime Lannister. The queen's twin brother.,"[[3.1318754e-04 4.3018055e-04 1.4703021e-03 2.0643469e-02 1.6451393e-03
  1.0185390e-03 9.7447914e-01]]"
130,sansa stark,Would you please shut up.,"[[0.03390389 0.03757317 0.02207647 0.03054674 0.03678016 0.00646631
  0.8326533 ]]"
131,eddard stark,My queen.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
132,catelyn stark,My queen.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
133,robert baratheon,Take me to your crypt. I want to pay my respects.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
134,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.","[[0.01167038 0.01471847 0.04501646 0.7489957  0.05590938 0.06342611
  0.06026353]]"
135,robert baratheon,Ned.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
136,cersei lannister,Where is our brother? Go find the little beast.,"[[0.03323516 0.03686522 0.02180655 0.03049285 0.03628414 0.00641185
  0.8349042 ]]"
137,eddard stark,Tell me about Jon Arryn.,"[[0.03043047 0.03388802 0.0206529  0.03024386 0.03417603 0.0061764
  0.8444323 ]]"
138,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.","[[0.04137912 0.04894929 0.0853294  0.57534856 0.11769824 0.07935525
  0.05194012]]"
139,eddard stark,We both did.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
140,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.","[[0.00265934 0.00327226 0.00436925 0.01855039 0.00609749 0.00187501
  0.96317625]]"
141,eddard stark,Aye.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
142,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.","[[0.01530701 0.01913096 0.0464096  0.5282779  0.05890014 0.04816297
  0.28381136]]"
143,eddard stark,I'm not worthy of the honor.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
144,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.","[[3.7118375e-01 3.5651088e-01 1.3489261e-01 4.1970849e-04 1.3672639e-01
  2.6610718e-04 4.6930293e-07]]"
145,tyrion lannister,Mmh. It is true what they say about the Northern girls.,"[[5.9228484e-04 7.8587659e-04 2.0031084e-03 1.9631512e-02 2.4057471e-03
  1.2062141e-03 9.7337520e-01]]"
146,ros,Did you hear the king's in Winterfell?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
147,tyrion lannister,I did hear something about that.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
148,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,"[[0.0044696  0.00539619 0.00624599 0.02210796 0.00900624 0.00254834
  0.95022565]]"
149,tyrion lannister,And the other brother?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
150,ros,The queen has two brothers?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
151,tyrion lannister,There's the pretty one. And there's the clever one.,"[[0.36991563 0.35552597 0.09335627 0.01072257 0.16088425 0.00890103
  0.00069428]]"
152,ros,I hear they call him the Imp.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
153,tyrion lannister,I hear he hates that nickname.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
154,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,"[[0.23424198 0.24848443 0.13699983 0.10244437 0.23495737 0.0367661
  0.00610589]]"
155,tyrion lannister,Clever girl.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
156,ros,"We've been expecting you, Lord Tyrion.","[[0.00281817 0.00347016 0.00472143 0.02073138 0.00656768 0.00208397
  0.95960724]]"
157,tyrion lannister,Have you?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
158,tyrion lannister,The gods gave me one blessing.,"[[0.06993393 0.07667478 0.04617307 0.06643195 0.07664175 0.01564655
  0.648498  ]]"
159,jaime lannister,Don't get up.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
160,ros,M'lord.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
161,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?","[[3.63488525e-01 3.51820201e-01 1.05067849e-01 6.29698113e-03
  1.69083238e-01 4.13402868e-03 1.09151064e-04]]"
162,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.","[[3.6147735e-01 3.4988925e-01 1.1042232e-01 4.6619629e-03 1.7072532e-01
  2.7794412e-03 4.4341490e-05]]"
163,tyrion lannister,"She has odd cravings, our sister.","[[0.02989649 0.03331979 0.02042794 0.03019129 0.03376684 0.00612969
  0.84626794]]"
164,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.","[[0.11121739 0.12276792 0.09548527 0.19825912 0.15080953 0.04611862
  0.2753422 ]]"
165,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.","[[0.07841185 0.08889429 0.10031912 0.36875707 0.14764237 0.06895609
  0.14701925]]"
166,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.","[[0.01032832 0.01205281 0.01063564 0.02637609 0.01630848 0.00385494
  0.9204438 ]]"
167,tyrion lannister,Close the door!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
168,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,"[[3.5522255e-01 3.4670478e-01 1.1010621e-01 5.6095477e-03 1.7930043e-01
  3.0084203e-03 4.8123795e-05]]"
169,eddard stark,She was my sister. This is where she belongs.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
170,robert baratheon,She belonged with me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
171,robert baratheon,"In my dreams, I kill him every night.","[[0.02806231 0.03136365 0.01964153 0.02999837 0.03233985 0.00596535
  0.8526289 ]]"
172,eddard stark,"It's done, Your Grace. The Targaryens are gone.","[[0.01399487 0.01610643 0.01267951 0.02697093 0.01993002 0.00433313
  0.9059852 ]]"
173,robert baratheon,Not all of them.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
174,viserys,Daenerys!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
175,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,"[[0.00530293 0.00714286 0.0327871  0.8474914  0.04001204 0.04268891
  0.02457475]]"
176,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,"[[0.05269309 0.06109728 0.08967172 0.4948236  0.12579279 0.07789431
  0.09802724]]"
