,Tweet,emotion,clean tweets
34,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),0,lemonlover666 shit doesnt even begin describe fiery little demons straight hell 🌝🌚
35,It's way too hard not to get discouraged.,0,way hard get discouraged
36,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",0,interview preparation hate talking one dull subject matter yawnoff
37,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",0,itd probably useful women im dealing rereading aicle woman harassed subway concern
38,@JaredWyand Maybe if it was transgender the media would cover it #outrage,0,jaredwyand maybe transgender media would cover outrage
39,Romero is fucking dreadful like seriously my 11 month old is better than him.,0,romero fucking dreadful like seriously 11 month old better
40,Since the 'update' my @iPhone loses power nearly 40% faster. ,0,since update iphone loses power nearly 40 faster
41,"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",0,katherinearabis it’s taken granted misogyny air treated normal — angry response pathological
42,"Anger, resentment, and hatred are the destroyer of your fortune today.",0,anger resentment hatred destroyer foune today
43,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,0,skyuk joke cut internet early mistake dont reinstate longer need engineer 😡
44,"@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs",0,jimmyfallon shawnmendes im sucker pine wanna rake wanna pile im sucker pine fallsongs
45,"@happyandbashful Flirt, simper, pout, repeat. Yuck.",0,happyandbashful fli simper pout repeat yuck
46,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",0,trumpism likewise rests bed racial resentment made knowingly intentionally long trump got politics
47,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,0,theres bpharm4 guy eish guy brings anger life see nje like darkness fills ramatsobanem know
48,Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,0,soooo badly want dye hair dark never dark soooo torn 😭😭😭
49,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",0,tears eyes dry wont im burning like wire lightbulb
50,Nor hell a fury like a woman scorned -- William Congreve,0,hell fury like woman scorned william congreve
51,@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,0,vectonemobileuk worst customer service lack professionalism service provider phoneprovider badbusiness
52,I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,0,really strange awful dreams last night id didnt even eat cheese bed lovemysleep
53,Brad Pitt being investigated for child abuse?! this all just got really #dark,0,brad pitt investigated child abuse got really dark
54,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,0,jasonmillerindc realdonaldtrump prudence suggests 8 bump 23 weeks viewed skepticism mediahrc axis angry
55,"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",0,ddogsscout oh almost odd cheerfulness big boss offers muzzle flash blinding accidental guy became best friend
56,Need a new outlet for #rage,0,need new outlet rage
57,"@healeyraine I'm offended, I actually am",0,healeyraine im offended actually
58,"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",0,room 101 would go russell howardtom odellmichael buble pants nogood
59,Gaaaaaaaad! Should have stayed in London!,0,gaaaaaaaad stayed london
60,"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",0,gambinodeejay linda76graham mikeeshy nnand also trying find youtube fucking nightmare
61,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,0,bungie spent 2 fucking hours still cant get dam siva fragment fellwinters peak mountain
62,People who go the speed limit irritate me,0,people go speed limit irritate
63,Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,0,last lgcanada product buy promise absolutely customerservice
64,@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,0,daniqays ajenews ohh comes sense terror suppoing stone pelting vandalizing ppl gather b4 protests announce
65,@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,0,jamiesma huh always fault isnt gt huff sulk
66,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,0,starklydark know trusted words soft ignored anger focused hu beneath know screwed
67,"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",0,james 500k 50k 25k 10k fucked bb18 bitter shouldofvotedfornicole
68,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,0,id like bridge divide right left twitter say new tweet truncating thing fucking awful
69,After what just happened. In need to smoke. ,0,happened need smoke
70,@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,0,atrumping hahahahahaha oh gosh hilarious black man trying keep racism alive get man
71,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,0,joes gf staed singing star joe got angry sing right staed angrily singing back
72,Chris ate all my mac n cheese so imma eat all his taffy #revenge,0,chris ate mac n cheese imma eat taffy revenge
73,@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,0,buzzfeed houses get instestines scare poop ill shit pants
74,I came to work for no reason 😩🔫\nI could've stayed in bed,0,came work reason 😩🔫ni couldve stayed bed
75,@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,0,matherfamilys sdicenter callstadt nndo rednecks intellectually intimidate force dancing clown
76,Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,0,noooooo gbbouk without maryberry awful endofanera going 2b lost channel4 bought lameduck notallaboutthemoney
77,"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",0,cptsrogersnwell go one two ways either get accept going change mope
78,"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",0,although war guise combating terrorism fact war povey ignorance stupidity
79,God we need a new goal keeper! They’re both horrific.,0,god need new goal keeper they’re horrific
80,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,0,ahs6 every 5 minutes ive saying nope nope id gone move gtfo thank
81,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,0,huge congratulations nicole winning big brother 18 bbnicole bb18 sorry sorry bitter bbmichelle
82,Nothing worse than an uber driver that can't drive. #awful,0,nothing worse uber driver cant drive awful
83,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",0,leave rulenimber 1 carpet cleaning furious worsethananatomicbomb accidentlyspillbeeronthecarpet
84,@RIPPoohSavage u know ion play that shit bout my weary brother,0,rippoohsavage u know ion play shit bout weary brother
85,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,0,gielnorian hedonismgaming cmode grimrail made want eat angry bees
86,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",0,casper10666 assure laughter increasing anger costs arrogance westminster
87,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,0,people even debating race inequality within justice system like non existent theyre trying aggravate us
88,There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,0,theres ceain hilarity people angry protests national anthem flag acts covered 1st amendment
89,@BarackObama I love Lizzy Warren's latest rage against Wall Street.,0,barackobama love lizzy warrens latest rage wall street
90,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,0,dont want pity instructors id like understanding im truly trying despite circumstances make discouraged
91,*Sigh* #depression #saddness #afterellen #shitsucks,0,sigh depression saddness afterellen shitsucks
92,@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',0,evanmcmullin hes spent campaign dividing people pitting message fear resent
93,@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,0,mariapetrova stopped smiled rudenot funnyit mean bully stoppickingonwomen
94,"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",0,01starblazer 9 9 vs atlanta yr 2 11 vs rockies dbacks yr thats combined 11 20 vs 3 atrocious teams nl awful
95,"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",0,btuk appointment booked 16 today waited day nobody showed also requested call back never got one awful
96,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,0,aarongoodwin seriously dude buy bubble tape phones snap broke another phone
97,@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,0,f1abraham holy shitwhat hell happened lips fix shit mtv teenmom horrible
98,@HillaryClinton did you see the gleeful look on @realDonaldTrump 's face when criminal Don King used the 'n' word to denigrate Blacks?,0,hillaryclinton see gleeful look realdonaldtrump face criminal king used n word denigrate blacks
99,Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,0,maybe entire russian team test positive meldonium noh americans get replace
100,Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,0,hey folks sorry anything offensive got posted yesterday account got hacked fixed though hope angry annoyed
101,@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,0,jackcurryyes hes luckybad pitcherswhateverelkracken legit future gottawearshades letsgoyankees
102,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,0,dreamthey trying steal kidney blackmarket whydidiwatchthat
103,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",0,pugglelover3691 haters taught hate shown love good quote goes comment tiff treat
104,@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,0,cesarsampao thisisbolton dont get staed town centre used go every week 18 months horrible
105,#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,0,india take revenge making 3 new movies like phantom like ghuskmarenge indian army take revenge
106,I dislike people who get offended by the littlest shit .,0,dislike people get offended littlest shit
107,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,0,new play tonight pretty much blind run played game maybe got 2 levels rage horror
108,F'n morons u23 SMFH can't just be lackadaisical,0,fn morons u23 smfh cant lackadaisical
109,@shae_caitlin ur road rage gives me anxiety.,0,shaecaitlin ur road rage gives anxiety
110,"significantly, with a #bitter smile, 'let me",0,significantly bitter smile let
111,@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,0,houstontexans trying go home tonight run 2nd 20 run 3rd 20 thats champs dosike losers terrible
112,@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,0,morningjoe joenbc mikebarnicle trump says refugee situation terrorism quality life take note
113,@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,0,teapayorg hes right civil war stas wall wall terrorism dont fancy muzzys chances
114,"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",0,deionsandersjr deionsanders badslash prices send refugee camps like team gear lose championships
115,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? ",0,pretty clear cant stand hillaryclinton tolerance habitual liars trump fan either whats citizen
116,Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim,0,awake 530am seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge im uni soon grim
117,@downeysduckling nick fury,0,downeysduckling nick fury
118,"@alliex both, scrap *ll the rage instead",0,alliex scrap rage instead
119,I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,0,meet new people grow reality people desgusting fake lost cheerfulness staed
120,I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh,0,hate black lady painting white internet laughs likes badform didntlaugh
121,can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 #nightmare,0,cant believe mint fest two days away hate outfit 😩😩🙈 nightmare
122,"Glasgow Girls' is a real tonic @stratfordeast:an eclectic range of songs, barbed humour and eloquence in its fiery rage against injustice",0,glasgow girls real tonic stratfordeastan eclectic range songs barbed humour eloquence fiery rage injustice
123,Eat my ass' is no longer an insult,0,eat ass longer insult
124,@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a !! #disgusted,0,budget car rental made realize always use nationalcares disgusted
125,@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,0,patvpeters freebeacon quite response retaliation weiner getting revenge huma amp hillary clam diggingnallscumbags
126,"Brb, going 2 start killing random white people going about their normal days. Don't worry though i'm white, so they will safely apprehend me",0,brb going 2 sta killing random white people going normal days dont worry though im white safely apprehend
127,"When u /only/ talk 2 me or ask me 'how r things' just 2 get 2 say something u want, 4give me if I'm not elated 2 start a conversation with u",0,u talk 2 ask r things 2 get 2 say something u want 4give im elated 2 sta conversation u
128,@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,0,swarbleflop lightskinjesusp theyre pretty awful look historically
129,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,0,broken policy blasio ltgt trump giuliani broken windows pa pecking order bully politics america resist motto
130,@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters,0,coopah worst going morgue positive id horrible reuters
131,@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,0,theonesoleshoe one thing attacking hating worse makes us like angry vengeful behavior detest
132,Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 #terrible,0,fb comments andor tweets make people realize black americans feel way 😳 terrible
133,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",0,fact sometimes dont get furious people wrong get furious fool
134,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,0,disneyland nothappy still charging fullprice 😡😡 fuming bestrides 😳😳
135,Everyone is raging,0,everyone raging
136,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,0,sometimes get mad something minuscule try ruin somebodies life like lose job like get federal prison anger
137,@ikhras @benglaze Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,0,ikhras benglaze amal clooney try prosecute bush blair war crimes turned world upside downampcreated terrorism
138,"@samsteinhp stop the presses, @realDonaldTrump said/proposed something racist. #shocking",0,samsteinhp stop presses realdonaldtrump saidproposed something racist shocking
139,@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,0,mikefreemannfl nisnt obrien supposed so offensive genius
140,Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,0,wish could convince rest children go fucking preschool elementary schools fear gun violence
141,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,0,callumpinner came silly oclock woke thats happened wasted fuming
142,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race,0,theyve substituted hood badge gun public opinion indictment charlotte police dark sadtimes america race
143,@mrfisher81 Just my attempt at levity 😉,0,mrfisher81 attempt levity 😉
144,@aidankerrpol I think you should do. Get the fashion police involved. #shocking,0,aidankerrpol think get fashion police involved shocking
145,@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,0,paulkrugman relentless echo chamber negative comments lots reverb typical bully behavior
146,Gas prices are hilarious. Cause they're simultaneously super subsidised and taxed,0,gas prices hilarious cause theyre simultaneously super subsidised taxed
147,Rojo is shocking.......absolutely shocking !!!,0,rojo shockingabsolutely shocking
148,@partydelightsUK it's 5679787. Cannot DM you as we don't follow each other. Not such a #delight #party #fail #letdown,0,paydelightsuk 5679787 cannot dm dont follow delight pay fail letdown
149,@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,0,kencuin might get donal óg sure wont cork hes fiery dopey frank amp cult
150,"@TheGoatShow @GameGrumps now that I have been sucked into this wormhole of hilarity with no escape, I can say how weird and accurate this is",0,thegoatshow gamegrumps sucked wormhole hilarity escape say weird accurate
151,My little sister sure can hold a grudge 😂😂😂,0,little sister sure hold grudge 😂😂😂
152,Ppl like that irritate my soul,0,ppl like irritate soul
153,@LiamCannon1 He's just too raging to type properly... Ha ha!,0,liamcannon1 hes raging type properly ha ha
154,Pakistan continues to treat #terror as a matter of state policy says @MEAIndia. #UriAttack,0,pakistan continues treat terror matter state policy says meaindia uriattack
155,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",0,dont join btcare put phone talk rude taking money acc willynilly
156,"@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter ",0,chickofbeauty yall mean rioting fire staing business burning looting assholes create blacklivesmatter
157,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, ",0,terencecutcher tulsa man onthe helicopter said looks like bad dude problem see black see bad
158,"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",0,doubtism im history people im ive bullied one make three posts attack bully
159,@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,0,thedtsb trubble1127 nflnetwork agree offense ass second half td score first drive
160,".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! #shocking",0,monsoonuk ordered 10pm last night paid next day didnt bother fufill order 14 working days refund shocking
161,@ImJim_YoureNot  cyber bully,0,imjimyourenot cyber bully
162,"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;",0,shieldscap lt steve feet feeling blush sting cheeks undress thank much snapped gt
163,@CNN bully,0,cnn bully
164,India should now react to the uri attack..... #revenge,0,india react uri attack revenge
165,@MintMilana where is the outrage when black children get killed in the crossfire between blacks shooting each other?,0,mintmilana outrage black children get killed crossfire blacks shooting
166,@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,0,lesyoung01 rabid dog ridden child eaten flesh one fellow limbs adults
167,@ntfc watched the cobblers loads this season how is gorre a pro footballler terrible,0,ntfc watched cobblers loads season gorre pro footballler terrible
168,"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today  #nosleep",0,half past midnight loud banging front door told new rape cases edinburgh today nosleep
169,Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont ,0,putin feels acceptable bomb amp kill aid workers soon may sitting table trump armageddon usapleasedont
170,"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! ",0,hey papajohnsuk ive charged £4024 credit card 4 order never arrived last friday chance refund
171,Why do people gotta start so much drama ? Shoot me ☹️,0,people gotta sta much drama shoot ☹️
172,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,0,miss fact burkeramsey swung amphit sister jonbenet face golf club previously fit
173,The best revenge is massive success.,0,best revenge massive success
174,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",0,jennylhowe angry student racist teacher stopping class letting go
175,Avoiding hearty basset hound no time present-time american the brave: YDXef,0,avoiding heay basset hound time presenttime american brave ydxef
176,"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter ",0,wine drunk worst version ffs dont even remember seeing basshunter
177,Forgot to eat dinner and now I'm furious with everything and everyone,0,forgot eat dinner im furious everything everyone
178,Constantly fucking boiling and it's not ok,0,constantly fucking boiling ok
179,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,0,paid chicken panerabread didnt even get 😑😑😑 goes 4 dollars customer
180,@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted,0,budget car rental made realize always use nationalcares nightmare disgusted
181,"@rabpeel snap, seems to be a problem here",0,rabpeel snap seems problem
182,They gonna give this KKk police bitch the minimum sentence..just wattch ,0,gonna give kkk police bitch minimum sentencejust wattch
183,#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,0,aleppo city burning head terrorism assad regime amp russia bombarding city right whitephosphrus bombs
184,@TheOneSoleShoe You're doing a terrible job exemplifying the values you espouse. Yesterday you lamented losing a generation of voters...,0,theonesoleshoe youre terrible job exemplifying values espouse yesterday lamented losing generation voters
185,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! ,0,attcares 2 wait 48 hours call back cancel order placed already spending 2 hours phone
186,"@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT)  #TRUMP #FAIL",0,cbsthismorning newsgirl123456 profiling doesnt discourage september 20 2016 1841 edt trump fail
187,#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,0,travelfail virgin virginaus etihad nightmare also delayed obvs 🙄😠
188,#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,0,tulsa police manufacture murder wonder carry burners maxlevelz
189,US you need to band together not apart #nevertrump he promotes hatred and fuels ,0,us need band together apa neverump promotes hatred fuels
190,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP 🚴100k ?,0,feeling like ive worst night sleep ever great london brighton cycle ride dmtfyp 🚴100k
191,"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing.  #unhappy #mean #troubled #vile #bully",0,shannonbeador know truth public figuring words mean nothing unhappy mean troubled vile bully
192,@keyshamackie it's fucking dreadful for live footy matches,0,keyshamackie fucking dreadful live footy matches
193,@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions ,0,lmryle tomcolicchio realdonaldtrump hillaryclinton ajjaffe understand concerns look foundation contributions
194,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",0,someone let snakes house bet yaboihuck kill bugger get hands huckfp2
195,Fake people irritate me,0,fake people irritate
