,author,content,clean tweets,probs
10,katyperry,"Haaaa, this comment. Thank you! “@sweetyitosan: @katyperry omg prism is so purrfect like you eaten an angel #prism""",haaaa comment thank “sweetyitosan katyperry omg prism purrfect like eaten angel prism,"[[0.00478811 0.00575566 0.006389   0.02130162 0.00929505 0.00253143
  0.9499392 ]]"
11,ladygaga,Happy Birthday to my debut albums The Fame &amp; The Fame Monster🍾🍰 https://t.co/Lstif0fkBZ,happy bihday debut albums fame amp fame monster🍾🍰 httpstcolstif0fkbz,"[[0.00474233 0.00570293 0.00634956 0.02125262 0.00923163 0.00251866
  0.9502023 ]]"
12,BarackObama,Our economy has added 14 million jobs over the longest streak of private-sector job growth on record. https://t.co/FwScd1Soxi,economy added 14 million jobs longest streak privatesector job growth record httpstcofwscd1soxi,"[[0.00169776 0.00214312 0.00359706 0.0210686  0.00478761 0.00179238
  0.9649134 ]]"
13,YouTube,"Have you ever gone 100+ mph with no car?

Try it → https://t.co/haA9eij5No https://t.co/QZVa2ExiD4",ever gone 100 mph car try → httpstcohaa9eij5no httpstcoqzva2exid4,"[[0.07718451 0.09297614 0.13956346 0.41808963 0.22210413 0.04476061
  0.00532139]]"
14,instagram,Turning 🌸 into 🎨 (via @BuzzfeedParents) https://t.co/cXsGm0HtQ7,turning 🌸 🎨 via buzzfeedparents httpstcocxsgm0htq7,"[[0.0437279  0.04818746 0.02776122 0.03722153 0.04645046 0.00830261
  0.78834885]]"
15,katyperry,sugarray https://t.co/jadMGQjDJ4,sugarray httpstcojadmgqjdj4,"[[0.26574346 0.26951233 0.11996606 0.08362979 0.20594254 0.04014815
  0.01505771]]"
16,taylorswift13,Sooooo my Storytellers airs on @VH1 tomorrow at 6 &amp; 11 p.m. ET if you feel like watching me tell stories and then sing about them 👍,sooooo storytellers airs vh1 tomorrow 6 amp 11 pm et feel like watching tell stories sing 👍,"[[9.6546207e-04 1.2395360e-03 2.3308513e-03 1.5409666e-02 3.0064806e-03
  1.1695056e-03 9.7587854e-01]]"
17,jimmyfallon,"Hashtag game! Tweet out something funny, weird, or embarrassing that happened to you and tag with #ThatHappened. Could be on our show!",hashtag game tweet something funny weird embarrassing happened tag thathappened could show,"[[1.8405418e-04 2.6292031e-04 1.2597665e-03 2.6748972e-02 1.3008879e-03
  1.0402548e-03 9.6920311e-01]]"
18,justinbieber,Love you all. Thanks. #PreOrderPURPOSE http://t.co/ZWMJvgSRpV,love thanks preorderpurpose httptcozwmjvgsrpv,"[[0.01486655 0.01706663 0.01317243 0.02730522 0.02079681 0.0044639
  0.90232843]]"
19,taylorswift13,"This post made my day. I can't believe I'm lucky enough to have friends like this. 
selenagomez's photo http://t.co/CKmGZ1Cs7T",post made day cant believe im lucky enough friends like selenagomezs photo httptcockmgz1cs7t,"[[0.00656432 0.00857032 0.03345766 0.78312516 0.039224   0.05403589
  0.07502259]]"
20,jimmyfallon,"Tonight: @Pharrell Williams is here, @RealRomaDowney &amp; @MarkBurnettTV stop by, music from @milkychance &amp; new #SuggestionBox! #FallonTonight",tonight pharrell williams realromadowney amp markburnetttv stop music milkychance amp new suggestionbox fallontonight,"[[0.00214673 0.00299164 0.01978118 0.87979215 0.02157957 0.0370004
  0.0367083 ]]"
21,taylorswift13,"I don't understand this odd dress debate and I feel like it's a trick somehow. 
I'm confused and scared.
PS it's OBVIOUSLY BLUE AND BLACK",dont understand odd dress debate feel like trick somehow im confused scared ps obviously blue black,"[[3.8814492e-04 5.2171771e-04 1.4249991e-03 1.4947498e-02 1.6833151e-03
  8.5110788e-04 9.8018324e-01]]"
22,KimKardashian,COMING SOON! @wonderlandmag https://t.co/E9sgSb7EZl,coming soon wonderlandmag httpstcoe9sgsb7ezl,"[[0.00117924 0.00153321 0.00346729 0.0298692  0.00430226 0.00207815
  0.9575706 ]]"
23,katyperry,"@katycatsophia at least we're on the same time zones, think of Brazil",katycatsophia least time zones think brazil,"[[0.17245255 0.1936332  0.15471755 0.17495078 0.26116765 0.0385001
  0.00457821]]"
24,shakira,A man with a giant paintbrush! It can only mean 4 DAYS to go! #ShakiraCountdown (thanks @DiegoAnaly). ShakHQ http://t.co/Elf1LMWah1,man giant paintbrush mean 4 days go shakiracountdown thanks diegoanaly shakhq httptcoelf1lmwah1,"[[3.1021008e-01 3.1888145e-01 1.1862068e-01 1.4291663e-02 2.3353469e-01
  4.3986044e-03 6.2701089e-05]]"
25,BarackObama,A new historic goal in the fight to #ActOnClimate. https://t.co/sAu2fHdxAb,new historic goal fight actonclimate httpstcosau2fhdxab,"[[0.01054754 0.01228102 0.01059791 0.02541995 0.01631738 0.00376771
  0.9210685 ]]"
26,taylorswift13,"I love my job. 
http://t.co/36vfcHfXw8",love job httptco36vfchfxw8,"[[3.5344559e-01 3.4422681e-01 1.0104510e-01 1.1433363e-02 1.8287276e-01
  6.7196535e-03 2.5677576e-04]]"
27,cnnbrk,"At least four people were killed in a vehicular attack in Jerusalem, Israel's emergency services said. https://t.co/YiUepD1BLx",least four people killed vehicular attack jerusalem israels emergency services said httpstcoyiuepd1blx,"[[0.05300796 0.05777365 0.03043387 0.03547384 0.05178317 0.00856091
  0.76296663]]"
28,justinbieber,ready to take the stage at @1027KIISFM's #WangoTango. Let's go,ready take stage 1027kiisfms wangotango lets go,"[[7.7770172e-05 1.1405025e-04 6.0216780e-04 1.2947977e-02 5.9836009e-04
  4.4067201e-04 9.8521900e-01]]"
29,taylorswift13,"Father/daughter vibes, on-screen and off. The Giver is out TODAY!! http://t.co/vrqHShsFkU",fatherdaughter vibes onscreen giver today httptcovrqhshsfku,"[[0.00144801 0.00183206 0.00309936 0.01813703 0.00410587 0.00151062
  0.96986705]]"
30,jimmyfallon,Hashtag game! Tweet out a funny rap about Spring Break and tag with #SpringBreakRaps. Could be on our show!,hashtag game tweet funny rap spring break tag springbreakraps could show,"[[0.30229235 0.30644843 0.11421458 0.04305112 0.20948428 0.02187622
  0.00263315]]"
31,shakira,"""If you can prove the existence of God, it can only be proven through love."" Preview the ELLE cover interview… http://t.co/ER4494dqoU ShakHQ",prove existence god proven love preview elle cover interview… httptcoer4494dqou shakhq,"[[0.00096097 0.00138658 0.01272449 0.8999343  0.01280091 0.02991507
  0.04227761]]"
32,shakira,"Wow, La La La (Brazil 2014) has reached 100M views!Thank you so much &amp; keep up the support for the @WFP #daretodream  http://t.co/dacmQVy6Fw",wow la la la brazil 2014 reached 100m viewsthank much amp keep suppo wfp daretodream httptcodacmqvy6fw,"[[3.3010024e-01 3.3277673e-01 1.1684260e-01 6.9608423e-03 2.1087249e-01
  2.4247856e-03 2.2268905e-05]]"
33,ladygaga,"Chose my dress for the day! With a big thumbs up from Bobby Campbell my manager. Side by side, every… http://t.co/3oVtOEa9Td",chose dress day big thumbs bobby campbell manager side side every… httptco3ovtoea9td,"[[0.01834232 0.0208757  0.01504654 0.02831292 0.02409907 0.00492781
  0.8883956 ]]"
34,ddlovato,@we_areforbidden or I get asked indirect or direct questions about her?,weareforbidden get asked indirect direct questions,"[[3.9063054e-01 3.6555827e-01 1.2268734e-01 5.1592273e-04 1.2010093e-01
  5.0459395e-04 2.3430900e-06]]"
35,jimmyfallon,Call Link https://t.co/3uRIv2hMyW,call link httpstco3uriv2hmyw,"[[3.50641727e-01 3.44421715e-01 1.04615025e-01 9.03815869e-03
  1.86373740e-01 4.78554470e-03 1.24044032e-04]]"
36,shakira,Genial ;-) RT @KimBroconier Tomorrow I'm going to learn the Spanish versions of all of the songs on @shakira's self-titled album,genial  kimbroconier tomorrow im going learn spanish versions songs shakiras selftitled album,"[[0.24823672 0.26669902 0.14029004 0.05862101 0.27056786 0.01496977
  0.00061564]]"
37,Twitter,"Welcome, Mr. President! 🇺🇸 https://t.co/JXHxgJNVdB",welcome mr president 🇺🇸 httpstcojxhxgjnvdb,"[[0.00512214 0.00614047 0.00667265 0.02163811 0.00975404 0.00262022
  0.94805235]]"
38,selenagomez,Get Ready Come &amp; Get It! #7daysuntilcomeandgetit http://t.co/pOCMcRhGYg http://t.co/mtqwpnKet2,get ready come amp get 7daysuntilcomeandgetit httptcopocmcrhgyg httptcomtqwpnket2,"[[3.8082787e-01 3.6189091e-01 1.3139711e-01 3.4980121e-04 1.2526049e-01
  2.7323843e-04 5.9775306e-07]]"
39,ladygaga,Stole my license plate!!!! 😂 &amp;  robbed me of my decoy vehicle!  https://t.co/ASV7m4KIJa,stole license plate 😂 amp robbed decoy vehicle httpstcoasv7m4kija,"[[3.31520796e-01 3.33100855e-01 1.08518064e-01 1.38304988e-02
  2.06851244e-01 6.01644395e-03 1.62215874e-04]]"
40,ddlovato,"Maui, you're next!!! Meet and greets up now!!! https://t.co/4ILGeylmUy #CONFIDENT",maui youre next meet greets httpstco4ilgeylmuy confident,"[[0.01224293 0.01540455 0.03724371 0.41141284 0.04697596 0.03552828
  0.44119173]]"
41,jtimberlake,This is getting good!!,getting good,"[[3.0142951e-01 3.1083891e-01 1.1808109e-01 2.5213419e-02 2.3563135e-01
  8.5551320e-03 2.5053567e-04]]"
42,instagram,“My dance is neither a philosophy nor a job; it is the way I am feeling emotionally.” —Olga Kuraeva https://t.co/8rWCOtlaow,“my dance neither philosophy job way feeling emotionally” —olga kuraeva httpstco8rwcotlaow,"[[0.00345282 0.00426758 0.00631596 0.03161033 0.00864599 0.00309677
  0.94261056]]"
43,taylorswift13,"Maybe I'm being overly sensitive here but this seems kind of mean.
#shakeitoff http://t.co/Jb4yNfVb5b",maybe im overly sensitive seems kind mean shakeitoff httptcojb4ynfvb5b,"[[3.31422269e-01 3.31310600e-01 1.16480045e-01 7.43041746e-03
  2.10705593e-01 2.62588193e-03 2.52117352e-05]]"
44,rihanna,My lil man Ca$h is so fly http://t.co/L8XtwwXn7j,lil man cah fly httptcol8xtwwxn7j,"[[0.00986819 0.01158312 0.01086982 0.02956521 0.01646707 0.0041543
  0.9174923 ]]"
45,ArianaGrande,why y'all so fuckin funny 😭 I love you forever and ever goodbye,yall fuckin funny 😭 love forever ever goodbye,"[[0.02340276 0.02882459 0.06773702 0.6844856  0.0905262  0.06886939
  0.03615444]]"
46,taylorswift13,"Excited about tonight's tv line up! Gonna watch the debut of the Mean video at 10pm on
CMT. Then @iamstevenT and @thecivilwars are on Leno!",excited tonights tv line gonna watch debut mean video 10pm cmt iamstevent thecivilwars leno,"[[2.7453707e-04 3.9564684e-04 2.2062443e-03 5.9844647e-02 2.2279248e-03
  2.1979469e-03 9.3285304e-01]]"
47,YouTube,"The Muckus is among us! 

The dudes try to save the holidays from evil spirits in the new #ParanormalActionSquad →… https://t.co/RGRAeTi38r",muckus among us dudes try save holidays evil spirits new paranormalactionsquad →… httpstcorgraeti38r,"[[0.07719725 0.08711743 0.08060806 0.22176138 0.12349425 0.0427224
  0.36709923]]"
48,Twitter,"Definitely a muffin, @teenybiscuit.
https://t.co/Xvcf4DxBbb",definitely muffin teenybiscuit httpstcoxvcf4dxbbb,"[[8.9399016e-04 1.1492501e-03 2.1672423e-03 1.4304572e-02 2.7913502e-03
  1.0770177e-03 9.7761655e-01]]"
49,justinbieber,Track 5. #LoveYourself @edsheeran keep an eye on ur tv ;),track 5 loveyourself edsheeran keep eye ur tv,"[[0.18918659 0.21501718 0.1619717  0.10900909 0.30658615 0.01759187
  0.0006375 ]]"
50,TheEllenShow,Three dog bowl. https://t.co/UtSAtcl2v0,three dog bowl httpstcoutsatcl2v0,"[[8.8094047e-04 1.2090449e-03 4.6944390e-03 8.4159963e-02 5.1938379e-03
  4.1997149e-03 8.9966202e-01]]"
51,katyperry,"@havss_ girl ""they"" told me. Also we round up from 5.",havss girl told also round 5,"[[0.1487078  0.16714951 0.14923295 0.2339824  0.24156624 0.05073853
  0.00862258]]"
52,britneyspears,Change Your Mind: Because a song is always better when it’s bilingual #GloryStreamingParty,change mind song always better it’s bilingual glorystreamingpay,"[[0.02936225 0.03538381 0.07241053 0.637222   0.09747678 0.0756873
  0.05245734]]"
53,BarackObama,“I wasn't going to sit idly by and not do at least what I was authorized to do.” —President Obama #ImmigrationAction,“i wasnt going sit idly least authorized do” —president obama immigrationaction,"[[0.04007459 0.04432444 0.0262244  0.03664314 0.04366038 0.00794894
  0.80112416]]"
54,britneyspears,"Ok people, dying to know... what did u think of the #ScreamAndShoutVideo?! Watch it here if u haven't seen it yet: http://t.co/QSmFqUvB",ok people dying know u think screamandshoutvideo watch u havent seen yet httptcoqsmfquvb,"[[0.01751576 0.02169758 0.0488164  0.5015523  0.06281801 0.04822766
  0.29937232]]"
55,ddlovato,#CONFIDENT acoustic from my @Spotify session is up now! Listen here: https://t.co/qHzgRp55y7 https://t.co/czB4KCkmYD,confident acoustic spotify session listen httpstcoqhzgrp55y7 httpstcoczb4kckmyd,"[[0.13566414 0.15337448 0.1468216  0.26493153 0.23259942 0.05575364
  0.01085517]]"
56,katyperry,"Ha! Pulling the tech curtain aside to tell you it's just a random name generator, but makes me LOL every time. https://t.co/I9nrrD5asL",ha pulling tech cuain aside tell random name generator makes lol every time httpstcoi9nrrd5asl,"[[3.3996499e-01 3.3658630e-01 1.3154362e-01 1.9271406e-03 1.8930490e-01
  6.7125622e-04 1.6696056e-06]]"
57,ddlovato,I love getting that excited pre-workout high... Knowing you're gonna give it all you got and nothing can get in your way 💪👍,love getting excited preworkout high knowing youre gonna give got nothing get way 💪👍,"[[0.04096505 0.05235096 0.11163917 0.575876   0.16728058 0.04480455
  0.00708366]]"
58,ArianaGrande,"thanks to @MrJasonRBrown for the unforgettable experience.... I could sing your music all day, every day, forever.",thanks mrjasonrbrown unforgettable experience could sing music day every day forever,"[[2.9040858e-01 3.0554831e-01 1.2352466e-01 2.4325594e-02 2.4899305e-01
  7.0457868e-03 1.5401760e-04]]"
59,jtimberlake,I'm gonna find a way to show my appreciation to you ladies and gents this week... Stay tuned. #finderskeepers,im gonna find way show appreciation ladies gents week stay tuned finderskeepers,"[[0.22033812 0.23867951 0.14688441 0.10041339 0.26617947 0.02560477
  0.00190033]]"
60,YouTube,"Somewhere over the rainbow, there’s cheesecake like this 🌈 ✨ https://t.co/P9whpNJgoB https://t.co/xMdMfXZgrQ",somewhere rainbow there’s cheesecake like 🌈 ✨ httpstcop9whpnjgob httpstcoxmdmfxzgrq,"[[0.32063287 0.32391334 0.10906548 0.02412232 0.21047145 0.01121642
  0.00057815]]"
61,jimmyfallon,12/11c is the premiere of @natebargatze @comedycentral one hour special #FullTimeMagic http://t.co/dT2w4oe9Lh http://t.co/i61I0aPTMA,1211c premiere natebargatze comedycentral one hour special fulltimemagic httptcodt2w4oe9lh httptcoi61i0aptma,"[[0.01190857 0.01487221 0.03148014 0.28334174 0.04069822 0.0258204
  0.5918788 ]]"
62,katyperry,"Hey @ElvisPresley, thanks for the PB-banana sandwich! RT@ElvisPresley: Look what stopped by Graceland today!  #PRISM https://t.co/4ljGQEk9rl",hey elvispresley thanks pbbanana sandwich elvispresley look stopped graceland today prism httpstco4ljgqek9rl,"[[2.5393057e-04 3.9269443e-04 6.0114372e-03 6.6861206e-01 4.9353070e-03
  1.4696804e-02 3.0509776e-01]]"
63,YouTube,Stretch those vocal chords. #SingIt’s only a day away. https://t.co/v50PUNpe95 https://t.co/8RoxL2w2yE,stretch vocal chords singit’s day away httpstcov50punpe95 httpstco8roxl2w2ye,"[[0.0212102  0.02640493 0.06503893 0.6977505  0.08627925 0.06705384
  0.03626236]]"
64,BarackObama,LAST CHANCE: Keep calm and enter before the midnight deadline. https://t.co/GRHmsl26Hd https://t.co/RJxiN938k8,last chance keep calm enter midnight deadline httpstcogrhmsl26hd httpstcorjxin938k8,"[[0.00207353 0.00288781 0.0178855  0.68712425 0.01840527 0.03097022
  0.24065341]]"
65,katyperry,"Meanwhile, you know it's a good hairstyle when you have to get the pliers out... 💁🔧🔩🔨",meanwhile know good hairstyle get pliers 💁🔧🔩🔨,"[[0.08483292 0.09431604 0.07253133 0.15046081 0.11491264 0.03234689
  0.4505994 ]]"
66,jtimberlake,FYI: I already know what the next one is gonna sound like...,fyi already know next one gonna sound like,"[[3.4597847e-01 3.4116292e-01 1.2233017e-01 3.0458823e-03 1.8621525e-01
  1.2604849e-03 6.8083286e-06]]"
67,YouTube,A whole new take on sand castles. https://t.co/22T56r6wo3 https://t.co/JDxgUKWJ6K,whole new take sand castles httpstco22t56r6wo3 httpstcojdxgukwj6k,"[[0.05903386 0.07617346 0.15177186 0.42417234 0.2669381  0.02121337
  0.000697  ]]"
68,britneyspears,@catchmespears followed u :) #BritneyJean,catchmespears followed u britneyjean,"[[0.0020179  0.00253415 0.00410526 0.02306503 0.00551365 0.00203635
  0.9607277 ]]"
69,cnnbrk,Turkish official ID'd suspect in Russian envoy's killing as police officer; he didn't say if officer was off duty.… https://t.co/wd6T68qTM0,turkish official idd suspect russian envoys killing police officer didnt say officer duty… httpstcowd6t68qtm0,"[[8.3970866e-04 1.0817235e-03 2.0670579e-03 1.3832480e-02 2.6532589e-03
  1.0281720e-03 9.7849756e-01]]"
70,KimKardashian,love this! https://t.co/WHz2D3wyCX,love httpstcowhz2d3wycx,"[[0.02078989 0.02486392 0.03435376 0.1703394  0.04844761 0.02093653
  0.6802688 ]]"
71,selenagomez,FACTS https://t.co/zpgnB6m4B2 https://t.co/c91GkzBFlf,facts httpstcozpgnb6m4b2 httpstcoc91gkzbflf,"[[0.05435055 0.06756432 0.12754154 0.50540775 0.20162728 0.03952288
  0.00398568]]"
72,selenagomez,So grateful. Tonight was so special.,grateful tonight special,"[[0.00782041 0.00923349 0.00894654 0.0251029  0.01343589 0.00338481
  0.9320759 ]]"
73,TheEllenShow,Happy #ThrowbackThursday #TBT http://t.co/JuTIMvcOtB,happy throwbackthursday tbt httptcojutimvcotb,"[[0.00120559 0.00154524 0.0029626  0.02033845 0.00381191 0.0015583
  0.96857786]]"
74,BarackObama,American diplomacy has helped make the world safer and more secure through the #IranDeal. Read how: https://t.co/BfksIZpjJe,american diplomacy helped make world safer secure irandeal read httpstcobfksizpjje,"[[0.01129503 0.01412856 0.02994312 0.26868796 0.03869367 0.02427895
  0.61297274]]"
75,taylorswift13,"So like..
Shake It Off is #1 on iTunes and pop radio.
1989 is #7 right now @iTunesMusic 
Just a an update that I'm FREAKING OUT. 
#thankyou",like shake 1 itunes pop radio 1989 7 right itunesmusic update im freaking thankyou,"[[0.02004972 0.02566725 0.07125013 0.7201733  0.09870671 0.05020127
  0.0139516 ]]"
76,ladygaga,Headed to #Oscars rehearsal! I've got goosebumps already ☺️ What an honor to perform for the world and such an immensely talented audience!,headed oscars rehearsal ive got goosebumps already ☺️ honor perform world immensely talented audience,"[[0.02116017 0.02625193 0.06353748 0.6918082  0.08388484 0.06894421
  0.0444131 ]]"
77,Cristiano,Check out these photos from today's training session  http://t.co/WeIp7HuG,check photos todays training session httptcoweip7hug,"[[0.00434009 0.00594004 0.03018274 0.86832666 0.0373089  0.03633602
  0.01756543]]"
78,ArianaGrande,wow hi. never leave me. #mybabes #myheart #myeverything https://t.co/wcHmGzTjmi,wow hi never leave mybabes myhea myeverything httpstcowchmgztjmi,"[[0.00590248 0.00740061 0.01408428 0.10470871 0.01847814 0.00929096
  0.8401348 ]]"
79,rihanna,God is Epic!,god epic,"[[0.00737665 0.00871447 0.00843435 0.02350718 0.01265482 0.00315095
  0.9361616 ]]"
80,instagram,"Light in darkness #IGHearts
https://t.co/8lB1bLLgeC",light darkness igheas httpstco8lb1bllgec,"[[0.2602662  0.27347985 0.1327815  0.06541981 0.24354106 0.0226534
  0.00185816]]"
81,Cristiano,Thanks for asking @MeGy9717 This is my official Facebook page.  - http://say.ly/Kop8jb,thanks asking megy9717 official facebook page httpsaylykop8jb,"[[0.09897427 0.11768863 0.14885446 0.3434834  0.24105473 0.04453985
  0.00540475]]"
82,selenagomez,@ddlovato IM so grateful you were born. #nomatterwhat #forever #haveTHEbestbday 💜,ddlovato im grateful born nomatterwhat forever havethebestbday 💜,"[[0.00174471 0.00218506 0.00336858 0.01731164 0.00455287 0.00154805
  0.9692891 ]]"
83,ddlovato,I'm singing the National Anthem on Saturday at the #worldseries on @fox!!!! @mlb 🇺🇸⚾️,im singing national anthem saturday worldseries fox mlb 🇺🇸⚾️,"[[0.00948364 0.01142214 0.01428849 0.05949308 0.02050613 0.00708594
  0.87772053]]"
84,katyperry,@alwaysbeperry you don't know your own strength bb,alwaysbeperry dont know strength bb,"[[0.01448388 0.01806228 0.04976047 0.7202057  0.06273813 0.06692466
  0.06782484]]"
85,jimmyfallon,"Tonight: @johncusack, @chita_rivera, music from @ricky_martin, and your funniest #WeddingFail tweets! #FallonTonight",tonight johncusack chitarivera music rickymain funniest weddingfail tweets fallontonight,"[[0.2611916  0.2756082  0.13287531 0.06094784 0.24784262 0.02013141
  0.00140302]]"
86,cnnbrk,"24 people hospitalized after Boston-Sacramento JetBlue flight hits turbulence, diverts. https://t.co/IXWsCTRDsk https://t.co/ve4IYVnU0Z",24 people hospitalized bostonsacramento jetblue flight hits turbulence dives httpstcoixwsctrdsk httpstcove4iyvnu0z,"[[0.25261712 0.27297953 0.13904232 0.05199374 0.26929942 0.0135379
  0.00052996]]"
87,Twitter,"A conversation continues on Twitter about the future of Egypt, post-revolution. http://t.co/rvrKVbY",conversation continues twitter future egypt postrevolution httptcorvrkvby,"[[0.01997059 0.0253191  0.06787561 0.7186001  0.09243964 0.05606551
  0.01972937]]"
88,ddlovato,You are the fucking cutest... @WValderrama I can't wait to ring in the new year with you mi amor ❤️🎉😘,fucking cutest wvalderrama cant wait ring new year mi amor ❤️🎉😘,"[[0.039465   0.04827048 0.09396012 0.5953318  0.13134997 0.0676906
  0.02393205]]"
89,cnnbrk,A new official report says #MH370 was spiraling fast in its final moments. https://t.co/VH2dEZThbv,new official repo says mh370 spiraling fast final moments httpstcovh2dezthbv,"[[0.01057836 0.01346086 0.0378338  0.51625997 0.04621669 0.04124278
  0.33440757]]"
90,BarackObama,LIVE: President Obama is speaking about the future of our 21st century economy. Tune in: http://t.co/BmKpNxpJh2 #AmericaLeads,live president obama speaking future 21st century economy tune httptcobmkpnxpjh2 americaleads,"[[1.2199296e-04 1.7108770e-04 6.2365283e-04 8.8846795e-03 6.8223500e-04
  3.8801241e-04 9.8912841e-01]]"
91,selenagomez,The future http://t.co/ewx6s5Ls5n,future httptcoewx6s5ls5n,"[[7.8730454e-04 1.0358872e-03 2.5024293e-03 2.3108087e-02 3.0529324e-03
  1.4962738e-03 9.6801710e-01]]"
92,ladygaga,I can't believe @billboard named me Woman of the year thank you so much 💗💗💗💗💗😔 I am so so so so grateful. My gosh good morning! ☕️,cant believe billboard named woman year thank much 💗💗💗💗💗😔 grateful gosh good morning ☕️,"[[0.18945856 0.21114647 0.15650527 0.13284484 0.2821408  0.02620452
  0.00169951]]"
93,rihanna,limited tix left for @ Forum in #London 2 see me tonight. Get em FREE by showing up 1st now #riverisland #budweiser #htc,limited tix left forum london 2 see tonight get em free showing 1st riverisland budweiser htc,"[[0.01939042 0.02201835 0.01558335 0.02856723 0.02505412 0.00505564
  0.88433087]]"
94,britneyspears,"I tend to write from experience, but also enjoy fantasizing &amp; writing from imagination. #AskBritney",tend write experience also enjoy fantasizing amp writing imagination askbritney,"[[8.9399016e-04 1.1492501e-03 2.1672423e-03 1.4304572e-02 2.7913502e-03
  1.0770177e-03 9.7761655e-01]]"
95,YouTube,"Zombie dogs. So cute they’ll make you puke.

Paul finds true puppy love in the latest #ParanormalActionSquad →… https://t.co/sWz1DrRToI",zombie dogs cute they’ll make puke paul finds true puppy love latest paranormalactionsquad →… httpstcoswz1droi,"[[0.31967533 0.3216442  0.10826983 0.02822952 0.20712028 0.01410139
  0.00095944]]"
96,BarackObama,"""Under my chairmanship, every Supreme Court nominee was given a hearing and a vote in the Judiciary Committee."" —@VP https://t.co/DKjBws90CZ",chairmanship every supreme cou nominee given hearing vote judiciary committee —vp httpstcodkjbws90cz,"[[3.3366244e-04 4.7584774e-04 2.4642763e-03 6.0693651e-02 2.5260563e-03
  2.3760279e-03 9.3113041e-01]]"
97,justinbieber,I love me a good #BubleXMAS,love good bublexmas,"[[0.014154   0.01764134 0.04918962 0.720443   0.06162784 0.06650312
  0.07044106]]"
98,taylorswift13,"Rolling Stone
#TS1989 http://t.co/u29cyrFxHy",rolling stone ts1989 httptcou29cyrfxhy,"[[0.00185731 0.00241955 0.00576106 0.05590251 0.00716898 0.00389959
  0.922991  ]]"
99,britneyspears,Saw your snapchats from the show this weekend @Tinashe 😍 You’re sooo cute!! Loved them &amp; hope you come back soon! https://t.co/kGpFbtsGIp,saw snapchats show weekend tinashe 😍 you’re sooo cute loved amp hope come back soon httpstcokgpfbtsgip,"[[0.30821353 0.3125388  0.11308065 0.03334327 0.21667373 0.01514285
  0.00100709]]"
